i = 0	(4.2,35.5)
i = 1	(5.6,36.5)
i = 2	(9.9,-28.4)
i = 3	(11.6,36.3)
i = 4	(36.4,-57.3)
i = 5	(37.9,44.5)
i = 6	(45.0,-36.4)
i = 7	(56.9,-44.2)
i = 8	(61.1,-34.1)
i = 9	(66.8,-28.4)
i = 10	(69.8,-30.8)
i = 11	(71.8,-42.8)
i = 12	(74.2,-49.0)
i = 13	(90.8,38.2)
i = 14	(91.6,-37.8)
i = 15	(92.0,-30.4)
i = 16	(92.7,36.5)
i = 17	(93.9,-32.0)
i = 18	(96.7,-29.7)
i = 19	(101.9,-27.7)
i = 20	(102.3,-60.2)
i = 21	(102.3,-56.3)
i = 22	(102.6,-28.9)
i = 23	(103.2,-26.3)
i = 24	(103.8,-39.2)
i = 25	(103.8,-31.5)
i = 26	(105.9,-38.5)
i = 27	(108.7,-52.2)
i = 28	(109.5,-37.9)
i = 29	(116.3,-44.8)
i = 30	(117.6,-52.6)
i = 31	(119.0,27.9)
i = 32	(122.5,30.5)
i = 33	(126.3,32.7)
i = 34	(127.3,-69.9)
i = 35	(131.4,-46.1)
i = 36	(134.7,-45.0)
i = 37	(136.7,-68.5)
i = 38	(142.0,35.3)
i = 39	(143.0,38.3)
i = 40	(145.6,-49.7)
i = 41	(145.8,-39.3)
i = 42	(146.8,40.5)
i = 43	(148.4,-49.8)
i = 44	(148.4,-48.7)
i = 45	(148.4,38.3)
i = 46	(151.3,-38.4)
i = 47	(152.1,-25.3)
i = 48	(153.5,36.6)
i = 49	(156.6,-45.1)
i = 50	(158.1,-33.5)
i = 51	(159.9,-30.9)
i = 52	(160.4,-35.3)
i = 53	(161.5,-35.9)
i = 54	(161.6,-28.5)
i = 55	(163.4,-28.0)
i = 56	(163.5,-43.5)
i = 57	(164.8,-25.7)
i = 58	(166.4,-44.6)
i = 59	(167.4,-26.3)
i = 60	(167.6,-44.2)
i = 61	(167.6,-38.0)
i = 62	(169.1,-45.7)
i = 63	(170.3,-42.8)
i = 64	(171.2,-35.9)
i = 65	(171.5,-37.6)
i = 66	(172.1,-40.2)
i = 67	(172.8,-36.4)
i = 68	(173.3,-40.0)
i = 69	(173.6,-41.6)
i = 70	(175.2,-25.1)
i = 71	(175.4,-38.8)
i = 72	(177.3,-38.9)
i = 73	(179.2,-29.1)
i = 74	(179.5,-25.7)
i = 75	(-179.0,-27.3)
i = 76	(-178.8,-28.5)
i = 77	(-177.9,-30.9)
i = 78	(-175.4,-30.9)
i = 79	(-174.6,-34.6)
i = 80	(-173.6,-32.2)
i = 81	(-170.5,-36.5)
i = 82	(-167.8,-26.6)
i = 83	(-153.3,-26.3)
i = 84	(-149.0,-36.6)
i = 85	(-81.3,-33.3)
i = 86	(-79.1,-31.3)
i = 87	(-73.5,62.8)
i = 88	(-64.8,-36.4)
i = 89	(-59.3,-31.9)
i = 90	(-54.1,-34.1)
i = 91	(-51.4,-32.5)
i = 92	(-46.0,-29.1)
