i = 0	(145.8,-39.3)
i = 1	(-153.3,-26.3)
i = 2	(167.4,-26.3)
i = 3	(175.4,-38.8)
i = 4	(117.6,-52.6)
i = 5	(101.9,-27.7)
i = 6	(56.9,-44.2)
i = 7	(90.8,38.2)
i = 8	(69.8,-30.8)
i = 9	(143.0,38.3)
i = 10	(103.8,-39.2)
i = 11	(172.1,-40.2)
i = 12	(146.8,40.5)
i = 13	(148.4,-49.8)
i = 14	(166.4,-44.6)
i = 15	(-177.9,-30.9)
i = 16	(175.2,-25.1)
i = 17	(161.5,-35.9)
i = 18	(122.5,30.5)
i = 19	(74.2,-49.0)
i = 20	(167.6,-44.2)
i = 21	(127.3,-69.9)
i = 22	(136.7,-68.5)
i = 23	(96.7,-29.7)
i = 24	(103.8,-31.5)
i = 25	(102.6,-28.9)
i = 26	(45.0,-36.4)
i = 27	(163.5,-43.5)
i = 28	(172.8,-36.4)
i = 29	(66.8,-28.4)
i = 30	(160.4,-35.3)
i = 31	(119.0,27.9)
i = 32	(-178.8,-28.5)
i = 33	(91.6,-37.8)
i = 34	(71.8,-42.8)
i = 35	(11.6,36.3)
i = 36	(173.6,-41.6)
i = 37	(177.3,-38.9)
i = 38	(151.3,-38.4)
i = 39	(-174.6,-34.6)
i = 40	(170.3,-42.8)
i = 41	(9.9,-28.4)
i = 42	(158.1,-33.5)
i = 43	(-175.4,-30.9)
i = 44	(-59.3,-31.9)
i = 45	(61.1,-34.1)
i = 46	(153.5,36.6)
i = 47	(171.2,-35.9)
i = 48	(126.3,32.7)
i = 49	(-167.8,-26.6)
i = 50	(4.2,35.5)
i = 51	(102.3,-56.3)
i = 52	(164.8,-25.7)
i = 53	(-64.8,-36.4)
i = 54	(156.6,-45.1)
i = 55	(167.6,-38.0)
i = 56	(109.5,-37.9)
i = 57	(161.6,-28.5)
i = 58	(-51.4,-32.5)
i = 59	(-173.6,-32.2)
i = 60	(116.3,-44.8)
i = 61	(-179.0,-27.3)
i = 62	(-54.1,-34.1)
i = 63	(102.3,-60.2)
i = 64	(-73.5,62.8)
i = 65	(163.4,-28.0)
i = 66	(169.1,-45.7)
i = 67	(179.5,-25.7)
i = 68	(148.4,38.3)
i = 69	(92.0,-30.4)
i = 70	(-170.5,-36.5)
i = 71	(171.5,-37.6)
i = 72	(5.6,36.5)
i = 73	(92.7,36.5)
i = 74	(-79.1,-31.3)
i = 75	(-149.0,-36.6)
i = 76	(159.9,-30.9)
i = 77	(152.1,-25.3)
i = 78	(103.2,-26.3)
i = 79	(105.9,-38.5)
i = 80	(131.4,-46.1)
i = 81	(-81.3,-33.3)
i = 82	(145.6,-49.7)
i = 83	(134.7,-45.0)
i = 84	(36.4,-57.3)
i = 85	(173.3,-40.0)
i = 86	(37.9,44.5)
i = 87	(179.2,-29.1)
i = 88	(108.7,-52.2)
i = 89	(-46.0,-29.1)
i = 90	(142.0,35.3)
i = 91	(148.4,-48.7)
i = 92	(93.9,-32.0)
