   4,  35	1560.45		175.25		380.84		666.53		1210.01		33.75		
   5,  36	1379.3		146.1		323.55		642.84		796.79		12.05		
   9, -28	466.56		9.67		366.06		15.1		438.34		79.37		
  11,  36	758.04		13.89		346.77		14.59		750.32		18.04		
  36, -57	0.17		0.01		0.16		0.07		5.78		5.04		
  37,  44	77.64		0.01		47.04		21.97		3.43		13.05		
  45, -36	7.01		6.75		0.64		7.06		1.24		34.53		
  56, -44	86.17		3.15		47.51		14.97		63.27		0.31		
  61, -34	5.26		0.97		3.1		1.43		0.07		2.78		
  66, -28	46.03		0.01		38.43		2.79		35.45		3.83		
  69, -30	31.79		3.97		16.08		1.0		27.62		28.0		
  71, -42	95.01		3.38		38.83		5.17		67.07		20.03		
  74, -49	56.52		2.61		24.91		0.15		55.29		42.36		
  90,  38	19.28		1.01		7.53		9.41		18.1		52.48		
  91, -37	399.26		132.53		102.52		285.92		388.7		5.37		
  92, -30	898.22		76.83		240.77		27.62		882.51		6.41		
  92,  36	22.6		1.78		7.73		6.73		22.6		54.3		
  93, -32	785.0		102.42		267.93		421.35		696.73		1.96		
  96, -29	873.07		24.0		441.44		0.99		870.48		53.42		
 101, -27	684.22		1.22		296.79		5.77		659.67		31.51		
 102, -60	4.98		0.03		5.0		0.01		70.28		45.56		
 102, -56	1.69		0.37		1.34		0.0		3.51		26.06		
 102, -28	649.23		0.07		362.83		3.95		639.92		10.15		
 103, -26	532.64		11.05		211.93		10.39		512.61		20.88		
 103, -39	87.84		0.63		54.58		1.17		68.53		1.6		
 103, -31	508.6		0.0		361.64		6.0		490.21		5.72		
 105, -38	93.66		8.36		33.82		7.66		74.12		19.39		
 108, -52	112.7		31.67		20.86		nan		67.67		8.9		
 109, -37	207.92		12.67		86.75		10.17		187.44		8.36		
 116, -44	77.41		1.12		58.06		1.78		72.2		3.24		
 117, -52	157.94		0.05		121.37		0.39		149.89		0.46		
 119,  27	3000.69		1963.22		793.72		27.21		2994.7		48.6		
 122,  30	3013.31		1279.41		770.8		9.48		2954.01		46.85		
 126,  32	1933.27		410.24		573.56		28.58		1923.14		54.72		
 127, -69	16.53		4.83		9.07		7.55		12.94		0.4		
 131, -46	215.5		4.04		133.53		21.36		187.32		29.12		
 134, -45	226.02		0.0		226.02		6.01		192.15		311.08		
 136, -68	29.92		8.88		3.06		19.7		26.26		27.06		
 142,  35	464.83		13.05		256.96		16.21		421.94		73.39		
 143,  38	395.83		28.06		190.61		87.08		326.07		126.36		
 145, -49	26.52		15.01		3.98		18.09		19.54		22.63		
 145, -39	91.57		0.41		86.1		0.44		86.85		156.05		
 146,  40	529.33		529.33		432.68		6534.15		458.66		304.6		
 148, -49	29.37		13.7		8.36		2.74		29.22		9.57		
 148, -48	46.16		20.73		15.53		1.08		44.91		9.68		
 148,  38	292.78		65.26		100.88		31.89		258.76		96.44		
 151, -38	1008.36		145.85		390.88		18.96		966.16		77.41		
 152, -25	7870.36		2206.88		122.47		2.16		7870.36		23.5		
 153,  36	481.73		53.04		253.87		102.76		402.02		37.31		
 156, -45	175.33		0.04		151.22		0.27		172.43		30.63		
 158, -33	1616.82		277.02		152.98		1241.59		1239.99		153.22		
 159, -30	1665.94		469.96		58.65		0.91		1660.94		47.68		
 160, -35	1035.24		66.59		195.23		7.44		940.9		66.42		
 161, -35	956.5		59.84		232.68		13.33		939.3		72.3		
